TIME,"GEO","CITIZEN","SEX","AGE","ASYL_APP","UNIT","Value","Flag and Footnotes"
2008,"Italy","Total","Total","Total","First time applicant","Person","30,145",""
2008,"Cyprus","Extra-EU-28","Total","Total","Asylum applicant","Person","3,920",""
2008,"Cyprus","Extra-EU-28","Total","Total","First time applicant","Person","3,920",""
2008,"Cyprus","Total","Total","Total","Asylum applicant","Person","3,920",""
2008,"Cyprus","Total","Total","Total","First time applicant","Person","3,920",""
2008,"Latvia","Extra-EU-28","Total","Total","Asylum applicant","Person","55",""
2008,"Latvia","Extra-EU-28","Total","Total","First time applicant","Person","50",""
2008,"Latvia","Total","Total","Total","Asylum applicant","Person","55",""
2008,"Latvia","Total","Total","Total","First time applicant","Person","50",""
2008,"Lithuania","Extra-EU-28","Total","Total","Asylum applicant","Person","520",""
2008,"Lithuania","Extra-EU-28","Total","Total","First time applicant","Person",":",""
2008,"Lithuania","Total","Total","Total","Asylum applicant","Person","520",""
2008,"Lithuania","Total","Total","Total","First time applicant","Person",":",""
2008,"Luxembourg","Extra-EU-28","Total","Total","Asylum applicant","Person","455",""
2008,"Luxembourg","Extra-EU-28","Total","Total","First time applicant","Person",":",""
2008,"Luxembourg","Total","Total","Total","Asylum applicant","Person","455",""
2008,"Luxembourg","Total","Total","Total","First time applicant","Person",":",""
2008,"Hungary","Extra-EU-28","Total","Total","Asylum applicant","Person","3,175",""
2008,"Hungary","Extra-EU-28","Total","Total","First time applicant","Person",":",""
2008,"Hungary","Total","Total","Total","Asylum applicant","Person","3,175",""
2008,"Hungary","Total","Total","Total","First time applicant","Person",":",""
2008,"Malta","Extra-EU-28","Total","Total","Asylum applicant","Person","2,605",""
2008,"Malta","Extra-EU-28","Total","Total","First time applicant","Person","2,605",""
2008,"Malta","Total","Total","Total","Asylum applicant","Person","2,605",""
2008,"Malta","Total","Total","Total","First time applicant","Person","2,605",""
2008,"Netherlands","Extra-EU-28","Total","Total","Asylum applicant","Person","15,250",""
2008,"Netherlands","Extra-EU-28","Total","Total","First time applicant","Person","13,380",""
2008,"Netherlands","Total","Total","Total","Asylum applicant","Person","15,255",""
2008,"Netherlands","Total","Total","Total","First time applicant","Person","13,380",""
2008,"Austria","Extra-EU-28","Total","Total","Asylum applicant","Person","12,715",""
2008,"Austria","Extra-EU-28","Total","Total","First time applicant","Person",":",""
2008,"Austria","Total","Total","Total","Asylum applicant","Person","12,750",""
2008,"Austria","Total","Total","Total","First time applicant","Person",":",""
2008,"Poland","Extra-EU-28","Total","Total","Asylum applicant","Person","8,515",""
2008,"Poland","Extra-EU-28","Total","Total","First time applicant","Person","7,200",""
2008,"Poland","Total","Total","Total","Asylum applicant","Person","8,515",""
2008,"Poland","Total","Total","Total","First time applicant","Person","7,200",""
2008,"Portugal","Extra-EU-28","Total","Total","Asylum applicant","Person","160",""
2008,"Portugal","Extra-EU-28","Total","Total","First time applicant","Person","160",""
2008,"Portugal","Total","Total","Total","Asylum applicant","Person","160",""
2008,"Portugal","Total","Total","Total","First time applicant","Person","160",""
2008,"Romania","Extra-EU-28","Total","Total","Asylum applicant","Person","1,175",""
2008,"Romania","Extra-EU-28","Total","Total","First time applicant","Person",":",""
2008,"Romania","Total","Total","Total","Asylum applicant","Person","1,180",""
2008,"Romania","Total","Total","Total","First time applicant","Person",":",""
2008,"Slovenia","Extra-EU-28","Total","Total","Asylum applicant","Person","255",""
2008,"Slovenia","Extra-EU-28","Total","Total","First time applicant","Person","240",""
2008,"Slovenia","Total","Total","Total","Asylum applicant","Person","260",""
2008,"Slovenia","Total","Total","Total","First time applicant","Person","240",""
2008,"Slovakia","Extra-EU-28","Total","Total","Asylum applicant","Person","895",""
2008,"Slovakia","Extra-EU-28","Total","Total","First time applicant","Person",":",""
2008,"Slovakia","Total","Total","Total","Asylum applicant","Person","905",""
2008,"Slovakia","Total","Total","Total","First time applicant","Person",":",""
2008,"Finland","Extra-EU-28","Total","Total","Asylum applicant","Person","3,670",""
2008,"Finland","Extra-EU-28","Total","Total","First time applicant","Person",":",""
2008,"Finland","Total","Total","Total","Asylum applicant","Person","3,770",""
2008,"Finland","Total","Total","Total","First time applicant","Person",":",""
2008,"Sweden","Extra-EU-28","Total","Total","Asylum applicant","Person","24,785",""
2008,"Sweden","Extra-EU-28","Total","Total","First time applicant","Person","24,275",""
2008,"Sweden","Total","Total","Total","Asylum applicant","Person","24,875",""
2008,"Sweden","Total","Total","Total","First time applicant","Person","24,365",""
2008,"United Kingdom","Extra-EU-28","Total","Total","Asylum applicant","Person",":",""
2008,"United Kingdom","Extra-EU-28","Total","Total","First time applicant","Person","31,290",""
2008,"United Kingdom","Total","Total","Total","Asylum applicant","Person",":",""
2008,"United Kingdom","Total","Total","Total","First time applicant","Person","31,315",""
2008,"Iceland","Extra-EU-28","Total","Total","Asylum applicant","Person","70",""
2008,"Iceland","Extra-EU-28","Total","Total","First time applicant","Person",":",""
2008,"Iceland","Total","Total","Total","Asylum applicant","Person","75",""
2008,"Iceland","Total","Total","Total","First time applicant","Person",":",""
2008,"Liechtenstein","Extra-EU-28","Total","Total","Asylum applicant","Person","20",""
2008,"Liechtenstein","Extra-EU-28","Total","Total","First time applicant","Person",":",""
2008,"Liechtenstein","Total","Total","Total","Asylum applicant","Person","25",""
2008,"Liechtenstein","Total","Total","Total","First time applicant","Person",":",""
2008,"Norway","Extra-EU-28","Total","Total","Asylum applicant","Person","14,395",""
2008,"Norway","Extra-EU-28","Total","Total","First time applicant","Person","14,045",""
2008,"Norway","Total","Total","Total","Asylum applicant","Person","14,430",""
2008,"Norway","Total","Total","Total","First time applicant","Person","14,080",""
2008,"Switzerland","Extra-EU-28","Total","Total","Asylum applicant","Person","16,520",""
2008,"Switzerland","Extra-EU-28","Total","Total","First time applicant","Person","15,105",""
2008,"Switzerland","Total","Total","Total","Asylum applicant","Person","16,605",""
2008,"Switzerland","Total","Total","Total","First time applicant","Person","15,180",""
2008,"Total","Extra-EU-28","Total","Total","Asylum applicant","Person","256,155","d"
2008,"Total","Extra-EU-28","Total","Total","First time applicant","Person","182,040","d"
2008,"Total","Total","Total","Total","Asylum applicant","Person","257,465","d"
2008,"Total","Total","Total","Total","First time applicant","Person","182,645","d"
2009,"European Union (28 countries)","Extra-EU-28","Total","Total","Asylum applicant","Person","263,835","d"
2009,"European Union (28 countries)","Extra-EU-28","Total","Total","First time applicant","Person","195,840","d"
2009,"European Union (28 countries)","Total","Total","Total","Asylum applicant","Person","266,395","d"
2009,"European Union (28 countries)","Total","Total","Total","First time applicant","Person","196,765","d"
2009,"Belgium","Extra-EU-28","Total","Total","Asylum applicant","Person","21,615",""
2009,"Belgium","Extra-EU-28","Total","Total","First time applicant","Person","16,595",""
2009,"Belgium","Total","Total","Total","Asylum applicant","Person","22,955",""
2009,"Belgium","Total","Total","Total","First time applicant","Person","17,215",""
2009,"Bulgaria","Extra-EU-28","Total","Total","Asylum applicant","Person","855",""
2009,"Bulgaria","Extra-EU-28","Total","Total","First time applicant","Person",":",""
2009,"Bulgaria","Total","Total","Total","Asylum applicant","Person","855",""
2009,"Bulgaria","Total","Total","Total","First time applicant","Person",":",""
2009,"Czech Republic","Extra-EU-28","Total","Total","Asylum applicant","Person","1,235",""
2009,"Czech Republic","Extra-EU-28","Total","Total","First time applicant","Person","620",""
2009,"Czech Republic","Total","Total","Total","Asylum applicant","Person","1,245",""
2009,"Czech Republic","Total","Total","Total","First time applicant","Person","630",""
2009,"Denmark","Extra-EU-28","Total","Total","Asylum applicant","Person","3,720",""
2009,"Denmark","Extra-EU-28","Total","Total","First time applicant","Person","3,720",""
2009,"Denmark","Total","Total","Total","Asylum applicant","Person","3,775",""
2009,"Denmark","Total","Total","Total","First time applicant","Person","3,775",""
2009,"Germany (until 1990 former territory of the FRG)","Extra-EU-28","Total","Total","Asylum applicant","Person","32,910",""
2009,"Germany (until 1990 former territory of the FRG)","Extra-EU-28","Total","Total","First time applicant","Person","27,575",""
2009,"Germany (until 1990 former territory of the FRG)","Total","Total","Total","Asylum applicant","Person","33,035",""
2009,"Germany (until 1990 former territory of the FRG)","Total","Total","Total","First time applicant","Person","27,650",""
2009,"Estonia","Extra-EU-28","Total","Total","Asylum applicant","Person","40",""
2009,"Estonia","Extra-EU-28","Total","Total","First time applicant","Person","35",""
2009,"Estonia","Total","Total","Total","Asylum applicant","Person","40",""
2009,"Estonia","Total","Total","Total","First time applicant","Person","35",""
2009,"Ireland","Extra-EU-28","Total","Total","Asylum applicant","Person","2,680",""
2009,"Ireland","Extra-EU-28","Total","Total","First time applicant","Person","2,650",""
2009,"Ireland","Total","Total","Total","Asylum applicant","Person","2,690",""
2009,"Ireland","Total","Total","Total","First time applicant","Person","2,660",""
2009,"Greece","Extra-EU-28","Total","Total","Asylum applicant","Person","15,925",""
2009,"Greece","Extra-EU-28","Total","Total","First time applicant","Person",":",""
2009,"Greece","Total","Total","Total","Asylum applicant","Person","15,925",""
2009,"Greece","Total","Total","Total","First time applicant","Person",":",""
2009,"Spain","Extra-EU-28","Total","Total","Asylum applicant","Person","3,005",""
2009,"Spain","Extra-EU-28","Total","Total","First time applicant","Person",":",""
2009,"Spain","Total","Total","Total","Asylum applicant","Person","3,005",""
2009,"Spain","Total","Total","Total","First time applicant","Person",":",""
2009,"France","Extra-EU-28","Total","Total","Asylum applicant","Person","47,620",""
2009,"France","Extra-EU-28","Total","Total","First time applicant","Person","42,070",""
2009,"France","Total","Total","Total","Asylum applicant","Person","47,625",""
2009,"France","Total","Total","Total","First time applicant","Person","42,070",""
2009,"Croatia","Extra-EU-28","Total","Total","Asylum applicant","Person",":",""
2009,"Croatia","Extra-EU-28","Total","Total","First time applicant","Person",":",""
2009,"Croatia","Total","Total","Total","Asylum applicant","Person",":",""
2009,"Croatia","Total","Total","Total","First time applicant","Person",":",""
2009,"Italy","Extra-EU-28","Total","Total","Asylum applicant","Person","17,640",""
2009,"Italy","Extra-EU-28","Total","Total","First time applicant","Person","17,640",""
2009,"Italy","Total","Total","Total","Asylum applicant","Person","17,670",""
2009,"Italy","Total","Total","Total","First time applicant","Person","17,670",""
2009,"Cyprus","Extra-EU-28","Total","Total","Asylum applicant","Person","3,200",""
2009,"Cyprus","Extra-EU-28","Total","Total","First time applicant","Person","3,200",""
2009,"Cyprus","Total","Total","Total","Asylum applicant","Person","3,200",""
2009,"Cyprus","Total","Total","Total","First time applicant","Person","3,200",""
2009,"Latvia","Extra-EU-28","Total","Total","Asylum applicant","Person","60",""
2009,"Latvia","Extra-EU-28","Total","Total","First time applicant","Person","50",""
2009,"Latvia","Total","Total","Total","Asylum applicant","Person","60",""
2009,"Latvia","Total","Total","Total","First time applicant","Person","50",""
2009,"Lithuania","Extra-EU-28","Total","Total","Asylum applicant","Person","450",""
2009,"Lithuania","Extra-EU-28","Total","Total","First time applicant","Person","210",""
2009,"Lithuania","Total","Total","Total","Asylum applicant","Person","450",""
2009,"Lithuania","Total","Total","Total","First time applicant","Person","210",""
2009,"Luxembourg","Extra-EU-28","Total","Total","Asylum applicant","Person","480",""
2009,"Luxembourg","Extra-EU-28","Total","Total","First time applicant","Person",":",""
2009,"Luxembourg","Total","Total","Total","Asylum applicant","Person","485",""
2009,"Luxembourg","Total","Total","Total","First time applicant","Person",":",""
2009,"Hungary","Extra-EU-28","Total","Total","Asylum applicant","Person","4,665",""
2009,"Hungary","Extra-EU-28","Total","Total","First time applicant","Person",":",""
2009,"Hungary","Total","Total","Total","Asylum applicant","Person","4,670",""
2009,"Hungary","Total","Total","Total","First time applicant","Person",":",""
2009,"Malta","Extra-EU-28","Total","Total","Asylum applicant","Person","2,385",""
2009,"Malta","Extra-EU-28","Total","Total","First time applicant","Person","2,385",""
2009,"Malta","Total","Total","Total","Asylum applicant","Person","2,385",""
2009,"Malta","Total","Total","Total","First time applicant","Person","2,385",""
2009,"Netherlands","Extra-EU-28","Total","Total","Asylum applicant","Person","16,135",""
2009,"Netherlands","Extra-EU-28","Total","Total","First time applicant","Person","14,880",""
2009,"Netherlands","Total","Total","Total","Asylum applicant","Person","16,140",""
2009,"Netherlands","Total","Total","Total","First time applicant","Person","14,880",""
2009,"Austria","Extra-EU-28","Total","Total","Asylum applicant","Person","15,780",""
2009,"Austria","Extra-EU-28","Total","Total","First time applicant","Person",":",""
2009,"Austria","Total","Total","Total","Asylum applicant","Person","15,815",""
2009,"Austria","Total","Total","Total","First time applicant","Person",":",""
2009,"Poland","Extra-EU-28","Total","Total","Asylum applicant","Person","10,590",""
2009,"Poland","Extra-EU-28","Total","Total","First time applicant","Person","9,655",""
2009,"Poland","Total","Total","Total","Asylum applicant","Person","10,595",""
2009,"Poland","Total","Total","Total","First time applicant","Person","9,655",""
2009,"Portugal","Extra-EU-28","Total","Total","Asylum applicant","Person","140",""
2009,"Portugal","Extra-EU-28","Total","Total","First time applicant","Person","140",""
2009,"Portugal","Total","Total","Total","Asylum applicant","Person","140",""
2009,"Portugal","Total","Total","Total","First time applicant","Person","140",""
2009,"Romania","Extra-EU-28","Total","Total","Asylum applicant","Person","960",""
2009,"Romania","Extra-EU-28","Total","Total","First time applicant","Person",":",""
2009,"Romania","Total","Total","Total","Asylum applicant","Person","965",""
2009,"Romania","Total","Total","Total","First time applicant","Person",":",""
2009,"Slovenia","Extra-EU-28","Total","Total","Asylum applicant","Person","190",""
2009,"Slovenia","Extra-EU-28","Total","Total","First time applicant","Person","175",""
2009,"Slovenia","Total","Total","Total","Asylum applicant","Person","200",""
2009,"Slovenia","Total","Total","Total","First time applicant","Person","185",""
2009,"Slovakia","Extra-EU-28","Total","Total","Asylum applicant","Person","805",""
2009,"Slovakia","Extra-EU-28","Total","Total","First time applicant","Person",":",""
2009,"Slovakia","Total","Total","Total","Asylum applicant","Person","820",""
2009,"Slovakia","Total","Total","Total","First time applicant","Person",":",""
2009,"Finland","Extra-EU-28","Total","Total","Asylum applicant","Person","4,910",""
2009,"Finland","Extra-EU-28","Total","Total","First time applicant","Person",":",""
2009,"Finland","Total","Total","Total","Asylum applicant","Person","5,700",""
2009,"Finland","Total","Total","Total","First time applicant","Person",":",""
2009,"Sweden","Extra-EU-28","Total","Total","Asylum applicant","Person","24,175",""
2009,"Sweden","Extra-EU-28","Total","Total","First time applicant","Person","23,600",""
2009,"Sweden","Total","Total","Total","Asylum applicant","Person","24,260",""
2009,"Sweden","Total","Total","Total","First time applicant","Person","23,680",""
2009,"United Kingdom","Extra-EU-28","Total","Total","Asylum applicant","Person","31,665",""
2009,"United Kingdom","Extra-EU-28","Total","Total","First time applicant","Person","30,645",""
2009,"United Kingdom","Total","Total","Total","Asylum applicant","Person","31,695",""
2009,"United Kingdom","Total","Total","Total","First time applicant","Person","30,675",""
2009,"Iceland","Extra-EU-28","Total","Total","Asylum applicant","Person","35",""
2009,"Iceland","Extra-EU-28","Total","Total","First time applicant","Person",":",""
2009,"Iceland","Total","Total","Total","Asylum applicant","Person","35",""
2009,"Iceland","Total","Total","Total","First time applicant","Person",":",""
2009,"Liechtenstein","Extra-EU-28","Total","Total","Asylum applicant","Person","280",""
2009,"Liechtenstein","Extra-EU-28","Total","Total","First time applicant","Person",":",""
2009,"Liechtenstein","Total","Total","Total","Asylum applicant","Person","285",""
2009,"Liechtenstein","Total","Total","Total","First time applicant","Person",":",""
2009,"Norway","Extra-EU-28","Total","Total","Asylum applicant","Person","17,125",""
2009,"Norway","Extra-EU-28","Total","Total","First time applicant","Person","16,470",""
2009,"Norway","Total","Total","Total","Asylum applicant","Person","17,225",""
2009,"Norway","Total","Total","Total","First time applicant","Person","16,575",""
2009,"Switzerland","Extra-EU-28","Total","Total","Asylum applicant","Person","15,900",""
2009,"Switzerland","Extra-EU-28","Total","Total","First time applicant","Person","14,415",""
2009,"Switzerland","Total","Total","Total","Asylum applicant","Person","16,005",""
2009,"Switzerland","Total","Total","Total","First time applicant","Person","14,490",""
2009,"Total","Extra-EU-28","Total","Total","Asylum applicant","Person","297,175","d"
2009,"Total","Extra-EU-28","Total","Total","First time applicant","Person","226,725","d"
2009,"Total","Total","Total","Total","Asylum applicant","Person","299,945","d"
2009,"Total","Total","Total","Total","First time applicant","Person","227,835","d"
2010,"European Union (28 countries)","Extra-EU-28","Total","Total","Asylum applicant","Person","259,400","d"
2010,"European Union (28 countries)","Extra-EU-28","Total","Total","First time applicant","Person","206,880","d"
2010,"European Union (28 countries)","Total","Total","Total","Asylum applicant","Person","260,835","d"
2010,"European Union (28 countries)","Total","Total","Total","First time applicant","Person","207,440","d"
2010,"Belgium","Extra-EU-28","Total","Total","Asylum applicant","Person","26,080",""
2010,"Belgium","Extra-EU-28","Total","Total","First time applicant","Person","21,565",""
2010,"Belgium","Total","Total","Total","Asylum applicant","Person","26,560",""
2010,"Belgium","Total","Total","Total","First time applicant","Person","21,815",""
2010,"Bulgaria","Extra-EU-28","Total","Total","Asylum applicant","Person","1,025",""
2010,"Bulgaria","Extra-EU-28","Total","Total","First time applicant","Person",":",""
2010,"Bulgaria","Total","Total","Total","Asylum applicant","Person","1,025",""
2010,"Bulgaria","Total","Total","Total","First time applicant","Person",":",""
2010,"Czech Republic","Extra-EU-28","Total","Total","Asylum applicant","Person","775",""
2010,"Czech Republic","Extra-EU-28","Total","Total","First time applicant","Person","380",""
2010,"Czech Republic","Total","Total","Total","Asylum applicant","Person","790",""
2010,"Czech Republic","Total","Total","Total","First time applicant","Person","390",""
2010,"Denmark","Extra-EU-28","Total","Total","Asylum applicant","Person","5,065",""
2010,"Denmark","Extra-EU-28","Total","Total","First time applicant","Person","5,065",""
2010,"Denmark","Total","Total","Total","Asylum applicant","Person","5,100",""
2010,"Denmark","Total","Total","Total","First time applicant","Person","5,100",""
2010,"Germany (until 1990 former territory of the FRG)","Extra-EU-28","Total","Total","Asylum applicant","Person","48,475",""
2010,"Germany (until 1990 former territory of the FRG)","Extra-EU-28","Total","Total","First time applicant","Person","41,245",""
2010,"Germany (until 1990 former territory of the FRG)","Total","Total","Total","Asylum applicant","Person","48,590",""
2010,"Germany (until 1990 former territory of the FRG)","Total","Total","Total","First time applicant","Person","41,330",""
2010,"Estonia","Extra-EU-28","Total","Total","Asylum applicant","Person","35",""
2010,"Estonia","Extra-EU-28","Total","Total","First time applicant","Person","30",""
2010,"Estonia","Total","Total","Total","Asylum applicant","Person","35",""
2010,"Estonia","Total","Total","Total","First time applicant","Person","30",""
2010,"Ireland","Extra-EU-28","Total","Total","Asylum applicant","Person","1,935",""
2010,"Ireland","Extra-EU-28","Total","Total","First time applicant","Person","1,915",""
2010,"Ireland","Total","Total","Total","Asylum applicant","Person","1,940",""
2010,"Ireland","Total","Total","Total","First time applicant","Person","1,920",""
2010,"Greece","Extra-EU-28","Total","Total","Asylum applicant","Person","10,275",""
2010,"Greece","Extra-EU-28","Total","Total","First time applicant","Person",":",""
2010,"Greece","Total","Total","Total","Asylum applicant","Person","10,275",""
2010,"Greece","Total","Total","Total","First time applicant","Person",":",""
2010,"Spain","Extra-EU-28","Total","Total","Asylum applicant","Person","2,740",""
2010,"Spain","Extra-EU-28","Total","Total","First time applicant","Person","2,550",""
2010,"Spain","Total","Total","Total","Asylum applicant","Person","2,745",""
2010,"Spain","Total","Total","Total","First time applicant","Person","2,550",""
2010,"France","Extra-EU-28","Total","Total","Asylum applicant","Person","52,725",""
2010,"France","Extra-EU-28","Total","Total","First time applicant","Person","48,030",""
2010,"France","Total","Total","Total","Asylum applicant","Person","52,725",""
2010,"France","Total","Total","Total","First time applicant","Person","48,030",""
2010,"Croatia","Extra-EU-28","Total","Total","Asylum applicant","Person",":",""
2010,"Croatia","Extra-EU-28","Total","Total","First time applicant","Person",":",""
2010,"Croatia","Total","Total","Total","Asylum applicant","Person",":",""
2010,"Croatia","Total","Total","Total","First time applicant","Person",":",""
2010,"Italy","Extra-EU-28","Total","Total","Asylum applicant","Person","10,000",""
2010,"Italy","Extra-EU-28","Total","Total","First time applicant","Person","10,000",""
2010,"Italy","Total","Total","Total","Asylum applicant","Person","10,050",""
2010,"Italy","Total","Total","Total","First time applicant","Person","10,050",""
2010,"Cyprus","Extra-EU-28","Total","Total","Asylum applicant","Person","2,875",""
2010,"Cyprus","Extra-EU-28","Total","Total","First time applicant","Person","2,835",""
2010,"Cyprus","Total","Total","Total","Asylum applicant","Person","2,875",""
2010,"Cyprus","Total","Total","Total","First time applicant","Person","2,835",""
2010,"Latvia","Extra-EU-28","Total","Total","Asylum applicant","Person","65",""
2010,"Latvia","Extra-EU-28","Total","Total","First time applicant","Person","60",""
2010,"Latvia","Total","Total","Total","Asylum applicant","Person","65",""
2010,"Latvia","Total","Total","Total","First time applicant","Person","60",""
2010,"Lithuania","Extra-EU-28","Total","Total","Asylum applicant","Person","495",""
2010,"Lithuania","Extra-EU-28","Total","Total","First time applicant","Person","370",""
2010,"Lithuania","Total","Total","Total","Asylum applicant","Person","495",""
2010,"Lithuania","Total","Total","Total","First time applicant","Person","370",""
2010,"Luxembourg","Extra-EU-28","Total","Total","Asylum applicant","Person","780",""
2010,"Luxembourg","Extra-EU-28","Total","Total","First time applicant","Person",":",""
2010,"Luxembourg","Total","Total","Total","Asylum applicant","Person","785",""
2010,"Luxembourg","Total","Total","Total","First time applicant","Person",":",""
2010,"Hungary","Extra-EU-28","Total","Total","Asylum applicant","Person","2,095",""
2010,"Hungary","Extra-EU-28","Total","Total","First time applicant","Person",":",""
2010,"Hungary","Total","Total","Total","Asylum applicant","Person","2,105",""
2010,"Hungary","Total","Total","Total","First time applicant","Person",":",""
2010,"Malta","Extra-EU-28","Total","Total","Asylum applicant","Person","175",""
2010,"Malta","Extra-EU-28","Total","Total","First time applicant","Person","145",""
2010,"Malta","Total","Total","Total","Asylum applicant","Person","175",""
2010,"Malta","Total","Total","Total","First time applicant","Person","145",""
2010,"Netherlands","Extra-EU-28","Total","Total","Asylum applicant","Person","15,100",""
2010,"Netherlands","Extra-EU-28","Total","Total","First time applicant","Person","13,290",""
2010,"Netherlands","Total","Total","Total","Asylum applicant","Person","15,100",""
2010,"Netherlands","Total","Total","Total","First time applicant","Person","13,290",""
2010,"Austria","Extra-EU-28","Total","Total","Asylum applicant","Person","11,045",""
2010,"Austria","Extra-EU-28","Total","Total","First time applicant","Person",":",""
2010,"Austria","Total","Total","Total","Asylum applicant","Person","11,060",""
2010,"Austria","Total","Total","Total","First time applicant","Person",":",""
2010,"Poland","Extra-EU-28","Total","Total","Asylum applicant","Person","6,540",""
2010,"Poland","Extra-EU-28","Total","Total","First time applicant","Person","4,330",""
2010,"Poland","Total","Total","Total","Asylum applicant","Person","6,540",""
2010,"Poland","Total","Total","Total","First time applicant","Person","4,330",""
2010,"Portugal","Extra-EU-28","Total","Total","Asylum applicant","Person","155",""
2010,"Portugal","Extra-EU-28","Total","Total","First time applicant","Person","155",""
2010,"Portugal","Total","Total","Total","Asylum applicant","Person","160",""
2010,"Portugal","Total","Total","Total","First time applicant","Person","160",""
2010,"Romania","Extra-EU-28","Total","Total","Asylum applicant","Person","885",""
2010,"Romania","Extra-EU-28","Total","Total","First time applicant","Person",":",""
2010,"Romania","Total","Total","Total","Asylum applicant","Person","885",""
2010,"Romania","Total","Total","Total","First time applicant","Person",":",""
2010,"Slovenia","Extra-EU-28","Total","Total","Asylum applicant","Person","240",""
2010,"Slovenia","Extra-EU-28","Total","Total","First time applicant","Person","195",""
2010,"Slovenia","Total","Total","Total","Asylum applicant","Person","245",""
2010,"Slovenia","Total","Total","Total","First time applicant","Person","195",""
2010,"Slovakia","Extra-EU-28","Total","Total","Asylum applicant","Person","540",""
2010,"Slovakia","Extra-EU-28","Total","Total","First time applicant","Person","315",""
2010,"Slovakia","Total","Total","Total","Asylum applicant","Person","540",""
2010,"Slovakia","Total","Total","Total","First time applicant","Person","315",""
2010,"Finland","Extra-EU-28","Total","Total","Asylum applicant","Person","3,085",""
