"TIME","GEO","CITIZEN","SEX","AGE","DECISION","UNIT","Value","Flag and Footnotes"
"2008","Ireland","Extra-EU-28","Total","Total","Rejected","Person","3,315",""
"2008","Ireland","Total","Total","Total","Total","Person","3,630",""
"2008","Ireland","Total","Total","Total","Total positive decisions","Person","300",""
"2008","Ireland","Total","Total","Total","Rejected","Person","3,325",""
"2008","Greece","Extra-EU-28","Total","Total","Total","Person","29,580",""
"2008","Greece","Extra-EU-28","Total","Total","Total positive decisions","Person","55",""
"2008","Greece","Extra-EU-28","Total","Total","Rejected","Person","29,525",""
"2008","Greece","Total","Total","Total","Total","Person","29,580",""
"2008","Greece","Total","Total","Total","Total positive decisions","Person","55",""
"2008","Greece","Total","Total","Total","Rejected","Person","29,525",""
"2008","Spain","Extra-EU-28","Total","Total","Total","Person","5,125",""
"2008","Spain","Extra-EU-28","Total","Total","Total positive decisions","Person","275",""
"2008","Spain","Extra-EU-28","Total","Total","Rejected","Person","4,850",""
"2008","Spain","Total","Total","Total","Total","Person","5,130",""
"2008","Spain","Total","Total","Total","Total positive decisions","Person","275",""
"2008","Spain","Total","Total","Total","Rejected","Person","4,850",""
"2008","France","Extra-EU-28","Total","Total","Total","Person","31,760",""
"2008","France","Extra-EU-28","Total","Total","Total positive decisions","Person","5,150",""
"2008","France","Extra-EU-28","Total","Total","Rejected","Person","26,610",""
"2008","France","Total","Total","Total","Total","Person","31,765",""
"2008","France","Total","Total","Total","Total positive decisions","Person","5,150",""
"2008","France","Total","Total","Total","Rejected","Person","26,610",""
"2008","Croatia","Extra-EU-28","Total","Total","Total","Person",":",""
"2008","Croatia","Extra-EU-28","Total","Total","Total positive decisions","Person",":",""
"2008","Croatia","Extra-EU-28","Total","Total","Rejected","Person",":",""
"2008","Croatia","Total","Total","Total","Total","Person",":",""
"2008","Croatia","Total","Total","Total","Total positive decisions","Person",":",""
"2008","Croatia","Total","Total","Total","Rejected","Person",":",""
"2008","Italy","Extra-EU-28","Total","Total","Total","Person","20,220",""
"2008","Italy","Extra-EU-28","Total","Total","Total positive decisions","Person","9,735",""
"2008","Italy","Extra-EU-28","Total","Total","Rejected","Person","10,485",""
"2008","Italy","Total","Total","Total","Total","Person","20,225",""
"2008","Italy","Total","Total","Total","Total positive decisions","Person","9,740",""
"2008","Italy","Total","Total","Total","Rejected","Person","10,485",""
"2008","Cyprus","Extra-EU-28","Total","Total","Total","Person","0",""
"2008","Cyprus","Extra-EU-28","Total","Total","Total positive decisions","Person","0",""
"2008","Cyprus","Extra-EU-28","Total","Total","Rejected","Person",":",""
"2008","Cyprus","Total","Total","Total","Total","Person","0",""
"2008","Cyprus","Total","Total","Total","Total positive decisions","Person","0",""
"2008","Cyprus","Total","Total","Total","Rejected","Person",":",""
"2008","Latvia","Extra-EU-28","Total","Total","Total","Person","10",""
"2008","Latvia","Extra-EU-28","Total","Total","Total positive decisions","Person","5",""
"2008","Latvia","Extra-EU-28","Total","Total","Rejected","Person","10",""
"2008","Latvia","Total","Total","Total","Total","Person","10",""
"2008","Latvia","Total","Total","Total","Total positive decisions","Person","5",""
"2008","Latvia","Total","Total","Total","Rejected","Person","10",""
"2008","Lithuania","Extra-EU-28","Total","Total","Total","Person","105",""
"2008","Lithuania","Extra-EU-28","Total","Total","Total positive decisions","Person","65",""
"2008","Lithuania","Extra-EU-28","Total","Total","Rejected","Person","35",""
"2008","Lithuania","Total","Total","Total","Total","Person","105",""
"2008","Lithuania","Total","Total","Total","Total positive decisions","Person","65",""
"2008","Lithuania","Total","Total","Total","Rejected","Person","35",""
"2008","Luxembourg","Extra-EU-28","Total","Total","Total","Person","485",""
"2008","Luxembourg","Extra-EU-28","Total","Total","Total positive decisions","Person","185",""
"2008","Luxembourg","Extra-EU-28","Total","Total","Rejected","Person","300",""
"2008","Luxembourg","Total","Total","Total","Total","Person","485",""
"2008","Luxembourg","Total","Total","Total","Total positive decisions","Person","185",""
"2008","Luxembourg","Total","Total","Total","Rejected","Person","300",""
"2008","Hungary","Extra-EU-28","Total","Total","Total","Person","905",""
"2008","Hungary","Extra-EU-28","Total","Total","Total positive decisions","Person","395",""
"2008","Hungary","Extra-EU-28","Total","Total","Rejected","Person","510",""
"2008","Hungary","Total","Total","Total","Total","Person","910",""
"2008","Hungary","Total","Total","Total","Total positive decisions","Person","395",""
"2008","Hungary","Total","Total","Total","Rejected","Person","510",""
"2008","Malta","Extra-EU-28","Total","Total","Total","Person","2,685",""
"2008","Malta","Extra-EU-28","Total","Total","Total positive decisions","Person","1,410",""
"2008","Malta","Extra-EU-28","Total","Total","Rejected","Person","1,275",""
"2008","Malta","Total","Total","Total","Total","Person","2,685",""
"2008","Malta","Total","Total","Total","Total positive decisions","Person","1,410",""
"2008","Malta","Total","Total","Total","Rejected","Person","1,275",""
"2008","Netherlands","Extra-EU-28","Total","Total","Total","Person","10,925",""
"2008","Netherlands","Extra-EU-28","Total","Total","Total positive decisions","Person","5,675",""
"2008","Netherlands","Extra-EU-28","Total","Total","Rejected","Person","5,245",""
"2008","Netherlands","Total","Total","Total","Total","Person","10,925",""
"2008","Netherlands","Total","Total","Total","Total positive decisions","Person","5,675",""
"2008","Netherlands","Total","Total","Total","Rejected","Person","5,245",""
"2008","Austria","Extra-EU-28","Total","Total","Total","Person","12,655",""
"2008","Austria","Extra-EU-28","Total","Total","Total positive decisions","Person","3,450",""
"2008","Austria","Extra-EU-28","Total","Total","Rejected","Person","9,205",""
"2008","Austria","Total","Total","Total","Total","Person","12,695",""
"2008","Austria","Total","Total","Total","Total positive decisions","Person","3,455",""
"2008","Austria","Total","Total","Total","Rejected","Person","9,240",""
"2008","Poland","Extra-EU-28","Total","Total","Total","Person","4,240",""
"2008","Poland","Extra-EU-28","Total","Total","Total positive decisions","Person","2,770",""
"2008","Poland","Extra-EU-28","Total","Total","Rejected","Person","1,470",""
"2008","Poland","Total","Total","Total","Total","Person","4,245",""
"2008","Poland","Total","Total","Total","Total positive decisions","Person","2,770",""
"2008","Poland","Total","Total","Total","Rejected","Person","1,475",""
"2008","Portugal","Extra-EU-28","Total","Total","Total","Person","105",""
"2008","Portugal","Extra-EU-28","Total","Total","Total positive decisions","Person","70",""
"2008","Portugal","Extra-EU-28","Total","Total","Rejected","Person","40",""
"2008","Portugal","Total","Total","Total","Total","Person","105",""
"2008","Portugal","Total","Total","Total","Total positive decisions","Person","70",""
"2008","Portugal","Total","Total","Total","Rejected","Person","40",""
"2008","Romania","Extra-EU-28","Total","Total","Total","Person","675",""
"2008","Romania","Extra-EU-28","Total","Total","Total positive decisions","Person","110",""
"2008","Romania","Extra-EU-28","Total","Total","Rejected","Person","565",""
"2008","Romania","Total","Total","Total","Total","Person","675",""
"2008","Romania","Total","Total","Total","Total positive decisions","Person","110",""
"2008","Romania","Total","Total","Total","Rejected","Person","565",""
"2008","Slovenia","Extra-EU-28","Total","Total","Total","Person","160",""
"2008","Slovenia","Extra-EU-28","Total","Total","Total positive decisions","Person","5",""
"2008","Slovenia","Extra-EU-28","Total","Total","Rejected","Person","155",""
"2008","Slovenia","Total","Total","Total","Total","Person","160",""
"2008","Slovenia","Total","Total","Total","Total positive decisions","Person","5",""
"2008","Slovenia","Total","Total","Total","Rejected","Person","155",""
"2008","Slovakia","Extra-EU-28","Total","Total","Total","Person","370",""
"2008","Slovakia","Extra-EU-28","Total","Total","Total positive decisions","Person","90",""
"2008","Slovakia","Extra-EU-28","Total","Total","Rejected","Person","280",""
"2008","Slovakia","Total","Total","Total","Total","Person","370",""
"2008","Slovakia","Total","Total","Total","Total positive decisions","Person","90",""
"2008","Slovakia","Total","Total","Total","Rejected","Person","280",""
"2008","Finland","Extra-EU-28","Total","Total","Total","Person","1,565",""
"2008","Finland","Extra-EU-28","Total","Total","Total positive decisions","Person","655",""
"2008","Finland","Extra-EU-28","Total","Total","Rejected","Person","910",""
"2008","Finland","Total","Total","Total","Total","Person","1,675",""
"2008","Finland","Total","Total","Total","Total positive decisions","Person","655",""
"2008","Finland","Total","Total","Total","Rejected","Person","1,020",""
"2008","Sweden","Extra-EU-28","Total","Total","Total","Person","29,460",""
"2008","Sweden","Extra-EU-28","Total","Total","Total positive decisions","Person","7,840",""
"2008","Sweden","Extra-EU-28","Total","Total","Rejected","Person","21,620",""
"2008","Sweden","Total","Total","Total","Total","Person","29,545",""
"2008","Sweden","Total","Total","Total","Total positive decisions","Person","7,845",""
"2008","Sweden","Total","Total","Total","Rejected","Person","21,700",""
"2008","United Kingdom","Extra-EU-28","Total","Total","Total","Person","23,775",""
"2008","United Kingdom","Extra-EU-28","Total","Total","Total positive decisions","Person","7,090",""
"2008","United Kingdom","Extra-EU-28","Total","Total","Rejected","Person","16,685",""
"2008","United Kingdom","Total","Total","Total","Total","Person","23,795",""
"2008","United Kingdom","Total","Total","Total","Total positive decisions","Person","7,090",""
"2008","United Kingdom","Total","Total","Total","Rejected","Person","16,705",""
"2008","Iceland","Extra-EU-28","Total","Total","Total","Person","50",""
"2008","Iceland","Extra-EU-28","Total","Total","Total positive decisions","Person","10",""
"2008","Iceland","Extra-EU-28","Total","Total","Rejected","Person","40",""
"2008","Iceland","Total","Total","Total","Total","Person","55",""
"2008","Iceland","Total","Total","Total","Total positive decisions","Person","10",""
"2008","Iceland","Total","Total","Total","Rejected","Person","45",""
"2008","Liechtenstein","Extra-EU-28","Total","Total","Total","Person","10",""
"2008","Liechtenstein","Extra-EU-28","Total","Total","Total positive decisions","Person","0",""
"2008","Liechtenstein","Extra-EU-28","Total","Total","Rejected","Person","10",""
"2008","Liechtenstein","Total","Total","Total","Total","Person","15",""
"2008","Liechtenstein","Total","Total","Total","Total positive decisions","Person","0",""
"2008","Liechtenstein","Total","Total","Total","Rejected","Person","15",""
"2008","Norway","Extra-EU-28","Total","Total","Total","Person","8,980",""
"2008","Norway","Extra-EU-28","Total","Total","Total positive decisions","Person","3,050",""
"2008","Norway","Extra-EU-28","Total","Total","Rejected","Person","5,930",""
"2008","Norway","Total","Total","Total","Total","Person","9,015",""
"2008","Norway","Total","Total","Total","Total positive decisions","Person","3,050",""
"2008","Norway","Total","Total","Total","Rejected","Person","5,965",""
"2008","Switzerland","Extra-EU-28","Total","Total","Total","Person","7,520",""
"2008","Switzerland","Extra-EU-28","Total","Total","Total positive decisions","Person","4,825",""
"2008","Switzerland","Extra-EU-28","Total","Total","Rejected","Person","2,695",""
"2008","Switzerland","Total","Total","Total","Total","Person","7,555",""
"2008","Switzerland","Total","Total","Total","Total positive decisions","Person","4,830",""
"2008","Switzerland","Total","Total","Total","Rejected","Person","2,720",""
"2008","Total","Extra-EU-28","Total","Total","Total","Person","230,485",""
"2008","Total","Extra-EU-28","Total","Total","Total positive decisions","Person","65,830",""
"2008","Total","Extra-EU-28","Total","Total","Rejected","Person","164,655",""
"2008","Total","Total","Total","Total","Total","Person","231,625",""
"2008","Total","Total","Total","Total","Total positive decisions","Person","65,855",""
"2008","Total","Total","Total","Total","Rejected","Person","165,770",""
"2009","European Union (28 countries)","Extra-EU-28","Total","Total","Total","Person","230,815",""
"2009","European Union (28 countries)","Extra-EU-28","Total","Total","Total positive decisions","Person","62,755",""
"2009","European Union (28 countries)","Extra-EU-28","Total","Total","Rejected","Person","168,060",""
"2009","European Union (28 countries)","Total","Total","Total","Total","Person","232,345",""
"2009","European Union (28 countries)","Total","Total","Total","Total positive decisions","Person","62,765",""
"2009","European Union (28 countries)","Total","Total","Total","Rejected","Person","169,580",""
"2009","Belgium","Extra-EU-28","Total","Total","Total","Person","14,365",""
"2009","Belgium","Extra-EU-28","Total","Total","Total positive decisions","Person","2,905",""
"2009","Belgium","Extra-EU-28","Total","Total","Rejected","Person","11,460",""
"2009","Belgium","Total","Total","Total","Total","Person","15,310",""
"2009","Belgium","Total","Total","Total","Total positive decisions","Person","2,910",""
"2009","Belgium","Total","Total","Total","Rejected","Person","12,400",""
"2009","Bulgaria","Extra-EU-28","Total","Total","Total","Person","645",""
"2009","Bulgaria","Extra-EU-28","Total","Total","Total positive decisions","Person","270",""
"2009","Bulgaria","Extra-EU-28","Total","Total","Rejected","Person","375",""
"2009","Bulgaria","Total","Total","Total","Total","Person","645",""
"2009","Bulgaria","Total","Total","Total","Total positive decisions","Person","270",""
"2009","Bulgaria","Total","Total","Total","Rejected","Person","375",""
"2009","Czech Republic","Extra-EU-28","Total","Total","Total","Person","530",""
"2009","Czech Republic","Extra-EU-28","Total","Total","Total positive decisions","Person","100",""
"2009","Czech Republic","Extra-EU-28","Total","Total","Rejected","Person","430",""
"2009","Czech Republic","Total","Total","Total","Total","Person","535",""
"2009","Czech Republic","Total","Total","Total","Total positive decisions","Person","100",""
"2009","Czech Republic","Total","Total","Total","Rejected","Person","435",""
"2009","Denmark","Extra-EU-28","Total","Total","Total","Person","1,645",""
"2009","Denmark","Extra-EU-28","Total","Total","Total positive decisions","Person","790",""
"2009","Denmark","Extra-EU-28","Total","Total","Rejected","Person","855",""
"2009","Denmark","Total","Total","Total","Total","Person","1,675",""
"2009","Denmark","Total","Total","Total","Total positive decisions","Person","790",""
"2009","Denmark","Total","Total","Total","Rejected","Person","880",""
"2009","Germany (until 1990 former territory of the FRG)","Extra-EU-28","Total","Total","Total","Person","26,760",""
"2009","Germany (until 1990 former territory of the FRG)","Extra-EU-28","Total","Total","Total positive decisions","Person","9,765",""
"2009","Germany (until 1990 former territory of the FRG)","Extra-EU-28","Total","Total","Rejected","Person","17,000",""
"2009","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Total","Person","26,855",""
"2009","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Total positive decisions","Person","9,765",""
"2009","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Rejected","Person","17,090",""
"2009","Estonia","Extra-EU-28","Total","Total","Total","Person","25",""
"2009","Estonia","Extra-EU-28","Total","Total","Total positive decisions","Person","5",""
"2009","Estonia","Extra-EU-28","Total","Total","Rejected","Person","20",""
"2009","Estonia","Total","Total","Total","Total","Person","25",""
"2009","Estonia","Total","Total","Total","Total positive decisions","Person","5",""
"2009","Estonia","Total","Total","Total","Rejected","Person","20",""
"2009","Ireland","Extra-EU-28","Total","Total","Total","Person","3,130",""
"2009","Ireland","Extra-EU-28","Total","Total","Total positive decisions","Person","125",""
"2009","Ireland","Extra-EU-28","Total","Total","Rejected","Person","3,000",""
"2009","Ireland","Total","Total","Total","Total","Person","3,135",""
"2009","Ireland","Total","Total","Total","Total positive decisions","Person","125",""
"2009","Ireland","Total","Total","Total","Rejected","Person","3,010",""
"2009","Greece","Extra-EU-28","Total","Total","Total","Person","14,350",""
"2009","Greece","Extra-EU-28","Total","Total","Total positive decisions","Person","165",""
"2009","Greece","Extra-EU-28","Total","Total","Rejected","Person","14,185",""
"2009","Greece","Total","Total","Total","Total","Person","14,355",""
"2009","Greece","Total","Total","Total","Total positive decisions","Person","165",""
"2009","Greece","Total","Total","Total","Rejected","Person","14,185",""
"2009","Spain","Extra-EU-28","Total","Total","Total","Person","4,480",""
"2009","Spain","Extra-EU-28","Total","Total","Total positive decisions","Person","350",""
"2009","Spain","Extra-EU-28","Total","Total","Rejected","Person","4,130",""
"2009","Spain","Total","Total","Total","Total","Person","4,490",""
"2009","Spain","Total","Total","Total","Total positive decisions","Person","350",""
"2009","Spain","Total","Total","Total","Rejected","Person","4,140",""
"2009","France","Extra-EU-28","Total","Total","Total","Person","35,290",""
"2009","France","Extra-EU-28","Total","Total","Total positive decisions","Person","5,050",""
"2009","France","Extra-EU-28","Total","Total","Rejected","Person","30,240",""
"2009","France","Total","Total","Total","Total","Person","35,295",""
"2009","France","Total","Total","Total","Total positive decisions","Person","5,050",""
"2009","France","Total","Total","Total","Rejected","Person","30,240",""
"2009","Croatia","Extra-EU-28","Total","Total","Total","Person",":",""
"2009","Croatia","Extra-EU-28","Total","Total","Total positive decisions","Person",":",""
"2009","Croatia","Extra-EU-28","Total","Total","Rejected","Person",":",""
"2009","Croatia","Total","Total","Total","Total","Person",":",""
"2009","Croatia","Total","Total","Total","Total positive decisions","Person",":",""
"2009","Croatia","Total","Total","Total","Rejected","Person",":",""
"2009","Italy","Extra-EU-28","Total","Total","Total","Person","23,010",""
"2009","Italy","Extra-EU-28","Total","Total","Total positive decisions","Person","9,060",""
"2009","Italy","Extra-EU-28","Total","Total","Rejected","Person","13,950",""
"2009","Italy","Total","Total","Total","Total","Person","23,015",""
"2009","Italy","Total","Total","Total","Total positive decisions","Person","9,065",""
"2009","Italy","Total","Total","Total","Rejected","Person","13,950",""
"2009","Cyprus","Extra-EU-28","Total","Total","Total","Person","3,855",""
"2009","Cyprus","Extra-EU-28","Total","Total","Total positive decisions","Person","1,130",""
"2009","Cyprus","Extra-EU-28","Total","Total","Rejected","Person","2,725",""
"2009","Cyprus","Total","Total","Total","Total","Person","3,855",""
"2009","Cyprus","Total","Total","Total","Total positive decisions","Person","1,130",""
"2009","Cyprus","Total","Total","Total","Rejected","Person","2,725",""
"2009","Latvia","Extra-EU-28","Total","Total","Total","Person","40",""
"2009","Latvia","Extra-EU-28","Total","Total","Total positive decisions","Person","10",""
"2009","Latvia","Extra-EU-28","Total","Total","Rejected","Person","35",""
"2009","Latvia","Total","Total","Total","Total","Person","40",""
"2009","Latvia","Total","Total","Total","Total positive decisions","Person","10",""
"2009","Latvia","Total","Total","Total","Rejected","Person","35",""
"2009","Lithuania","Extra-EU-28","Total","Total","Total","Person","145",""
"2009","Lithuania","Extra-EU-28","Total","Total","Total positive decisions","Person","40",""
"2009","Lithuania","Extra-EU-28","Total","Total","Rejected","Person","100",""
"2009","Lithuania","Total","Total","Total","Total","Person","145",""
"2009","Lithuania","Total","Total","Total","Total positive decisions","Person","40",""
"2009","Lithuania","Total","Total","Total","Rejected","Person","100",""
"2009","Luxembourg","Extra-EU-28","Total","Total","Total","Person","465",""
"2009","Luxembourg","Extra-EU-28","Total","Total","Total positive decisions","Person","110",""
"2009","Luxembourg","Extra-EU-28","Total","Total","Rejected","Person","355",""
"2009","Luxembourg","Total","Total","Total","Total","Person","470",""
"2009","Luxembourg","Total","Total","Total","Total positive decisions","Person","110",""
"2009","Luxembourg","Total","Total","Total","Rejected","Person","360",""
"2009","Hungary","Extra-EU-28","Total","Total","Total","Person","1,805",""
"2009","Hungary","Extra-EU-28","Total","Total","Total positive decisions","Person","390",""
"2009","Hungary","Extra-EU-28","Total","Total","Rejected","Person","1,415",""
"2009","Hungary","Total","Total","Total","Total","Person","1,805",""
"2009","Hungary","Total","Total","Total","Total positive decisions","Person","390",""
"2009","Hungary","Total","Total","Total","Rejected","Person","1,415",""
"2009","Malta","Extra-EU-28","Total","Total","Total","Person","2,575",""
"2009","Malta","Extra-EU-28","Total","Total","Total positive decisions","Person","1,690",""
"2009","Malta","Extra-EU-28","Total","Total","Rejected","Person","885",""
"2009","Malta","Total","Total","Total","Total","Person","2,575",""
"2009","Malta","Total","Total","Total","Total positive decisions","Person","1,690",""
"2009","Malta","Total","Total","Total","Rejected","Person","885",""
"2009","Netherlands","Extra-EU-28","Total","Total","Total","Person","17,565",""
"2009","Netherlands","Extra-EU-28","Total","Total","Total positive decisions","Person","8,245",""
"2009","Netherlands","Extra-EU-28","Total","Total","Rejected","Person","9,320",""
"2009","Netherlands","Total","Total","Total","Total","Person","17,565",""
"2009","Netherlands","Total","Total","Total","Total positive decisions","Person","8,245",""
"2009","Netherlands","Total","Total","Total","Rejected","Person","9,320",""
"2009","Austria","Extra-EU-28","Total","Total","Total","Person","14,815",""
"2009","Austria","Extra-EU-28","Total","Total","Total positive decisions","Person","3,220",""
"2009","Austria","Extra-EU-28","Total","Total","Rejected","Person","11,595",""
"2009","Austria","Total","Total","Total","Total","Person","14,845",""
"2009","Austria","Total","Total","Total","Total positive decisions","Person","3,220",""
"2009","Austria","Total","Total","Total","Rejected","Person","11,625",""
"2009","Poland","Extra-EU-28","Total","Total","Total","Person","6,580",""
"2009","Poland","Extra-EU-28","Total","Total","Total positive decisions","Person","2,525",""
"2009","Poland","Extra-EU-28","Total","Total","Rejected","Person","4,055",""
"2009","Poland","Total","Total","Total","Total","Person","6,580",""
"2009","Poland","Total","Total","Total","Total positive decisions","Person","2,525",""
"2009","Poland","Total","Total","Total","Rejected","Person","4,055",""
"2009","Portugal","Extra-EU-28","Total","Total","Total","Person","95",""
"2009","Portugal","Extra-EU-28","Total","Total","Total positive decisions","Person","50",""
"2009","Portugal","Extra-EU-28","Total","Total","Rejected","Person","45",""
"2009","Portugal","Total","Total","Total","Total","Person","95",""
"2009","Portugal","Total","Total","Total","Total positive decisions","Person","50",""
"2009","Portugal","Total","Total","Total","Rejected","Person","45",""
"2009","Romania","Extra-EU-28","Total","Total","Total","Person","540",""
"2009","Romania","Extra-EU-28","Total","Total","Total positive decisions","Person","115",""
"2009","Romania","Extra-EU-28","Total","Total","Rejected","Person","430",""
"2009","Romania","Total","Total","Total","Total","Person","540",""
"2009","Romania","Total","Total","Total","Total positive decisions","Person","115",""
"2009","Romania","Total","Total","Total","Rejected","Person","430",""
"2009","Slovenia","Extra-EU-28","Total","Total","Total","Person","120",""
"2009","Slovenia","Extra-EU-28","Total","Total","Total positive decisions","Person","20",""
"2009","Slovenia","Extra-EU-28","Total","Total","Rejected","Person","100",""
"2009","Slovenia","Total","Total","Total","Total","Person","130",""
"2009","Slovenia","Total","Total","Total","Total positive decisions","Person","20",""
"2009","Slovenia","Total","Total","Total","Rejected","Person","110",""
"2009","Slovakia","Extra-EU-28","Total","Total","Total","Person","315",""
"2009","Slovakia","Extra-EU-28","Total","Total","Total positive decisions","Person","180",""
"2009","Slovakia","Extra-EU-28","Total","Total","Rejected","Person","140",""
"2009","Slovakia","Total","Total","Total","Total","Person","320",""
"2009","Slovakia","Total","Total","Total","Total positive decisions","Person","180",""
"2009","Slovakia","Total","Total","Total","Rejected","Person","140",""
"2009","Finland","Extra-EU-28","Total","Total","Total","Person","2,650",""
"2009","Finland","Extra-EU-28","Total","Total","Total positive decisions","Person","960",""
"2009","Finland","Extra-EU-28","Total","Total","Rejected","Person","1,690",""
"2009","Finland","Total","Total","Total","Total","Person","2,960",""
"2009","Finland","Total","Total","Total","Total positive decisions","Person","960",""
"2009","Finland","Total","Total","Total","Rejected","Person","2,000",""
"2009","Sweden","Extra-EU-28","Total","Total","Total","Person","23,920",""
"2009","Sweden","Extra-EU-28","Total","Total","Total positive decisions","Person","7,095",""
"2009","Sweden","Extra-EU-28","Total","Total","Rejected","Person","16,825",""
"2009","Sweden","Total","Total","Total","Total","Person","23,985",""
"2009","Sweden","Total","Total","Total","Total positive decisions","Person","7,095",""
"2009","Sweden","Total","Total","Total","Rejected","Person","16,890",""
"2009","United Kingdom","Extra-EU-28","Total","Total","Total","Person","31,090",""
"2009","United Kingdom","Extra-EU-28","Total","Total","Total positive decisions","Person","8,395",""
"2009","United Kingdom","Extra-EU-28","Total","Total","Rejected","Person","22,695",""
"2009","United Kingdom","Total","Total","Total","Total","Person","31,100",""
"2009","United Kingdom","Total","Total","Total","Total positive decisions","Person","8,395",""
"2009","United Kingdom","Total","Total","Total","Rejected","Person","22,705",""
"2009","Iceland","Extra-EU-28","Total","Total","Total","Person","30",""
"2009","Iceland","Extra-EU-28","Total","Total","Total positive decisions","Person","5",""
"2009","Iceland","Extra-EU-28","Total","Total","Rejected","Person","25",""
"2009","Iceland","Total","Total","Total","Total","Person","30",""
"2009","Iceland","Total","Total","Total","Total positive decisions","Person","5",""
"2009","Iceland","Total","Total","Total","Rejected","Person","25",""
"2009","Liechtenstein","Extra-EU-28","Total","Total","Total","Person","80",""
"2009","Liechtenstein","Extra-EU-28","Total","Total","Total positive decisions","Person","0",""
"2009","Liechtenstein","Extra-EU-28","Total","Total","Rejected","Person","75",""
"2009","Liechtenstein","Total","Total","Total","Total","Person","85",""
"2009","Liechtenstein","Total","Total","Total","Total positive decisions","Person","0",""
"2009","Liechtenstein","Total","Total","Total","Rejected","Person","80",""
"2009","Norway","Extra-EU-28","Total","Total","Total","Person","14,685",""
"2009","Norway","Extra-EU-28","Total","Total","Total positive decisions","Person","4,510",""
"2009","Norway","Extra-EU-28","Total","Total","Rejected","Person","10,175",""
"2009","Norway","Total","Total","Total","Total","Person","14,760",""
"2009","Norway","Total","Total","Total","Total positive decisions","Person","4,510",""
"2009","Norway","Total","Total","Total","Rejected","Person","10,250",""
